epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,227.795,1.64935,1.09214,1.18041,0.7834,0.71319,0.68552,0.33905,1.63121,1.16449,1.26488,0.0015941,0.0015941,0.0015941
43,233.005,1.63359,1.07934,1.17261,0.80584,0.71934,0.69473,0.36168,1.50925,1.08758,1.22098,0.0015842,0.0015842,0.0015842
44,238.306,1.66837,1.08234,1.19338,0.7717,0.70396,0.67018,0.27753,2.09206,1.20833,1.46737,0.0015743,0.0015743,0.0015743
45,243.483,1.68425,1.08864,1.19543,0.76598,0.72664,0.66695,0.24667,2.25901,1.13389,1.53567,0.0015644,0.0015644,0.0015644
46,248.86,1.64781,1.06559,1.17671,0.77749,0.72664,0.67918,0.29814,1.92979,1.1143,1.3843,0.0015545,0.0015545,0.0015545
47,254.073,1.63692,1.07145,1.17652,0.77561,0.7269,0.66115,0.28765,1.92031,1.18691,1.37229,0.0015446,0.0015446,0.0015446
48,259.237,1.6515,1.06402,1.16963,0.73683,0.67166,0.61502,0.17959,2.66183,1.20042,1.77807,0.0015347,0.0015347,0.0015347
49,264.57,1.71667,1.09783,1.21115,0.71638,0.7055,0.60458,0.1817,2.50473,1.26698,1.6879,0.0015248,0.0015248,0.0015248
50,269.751,1.63345,1.06203,1.17615,0.7921,0.72656,0.68995,0.29655,2.02029,1.08147,1.42639,0.0015149,0.0015149,0.0015149
51,275.112,1.61734,1.0492,1.17464,0.78479,0.7328,0.68607,0.28561,2.02489,1.12469,1.4269,0.001505,0.001505,0.001505
52,280.253,1.62542,1.07396,1.18277,0.75403,0.70473,0.65446,0.24151,2.18485,1.18117,1.50885,0.0014951,0.0014951,0.0014951
53,285.56,1.62928,1.08613,1.18396,0.78749,0.7228,0.68364,0.31068,1.83727,1.11671,1.349,0.0014852,0.0014852,0.0014852
54,290.73,1.62021,1.08865,1.17138,0.80209,0.73233,0.69631,0.34667,1.58104,1.13023,1.24073,0.0014753,0.0014753,0.0014753
55,295.93,1.63181,1.07353,1.17422,0.77073,0.73412,0.6776,0.30064,1.91042,1.14905,1.36883,0.0014654,0.0014654,0.0014654
