epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,91.6627,1.88061,1.08339,0.98295,0.62502,0.6489,0.51701,0.17597,2.74469,2.01146,1.1659,0.0015842,0.0015842,0.0015842
44,93.5835,1.94502,1.07129,0.9895,0.58326,0.59454,0.45124,0.09346,3.1917,1.87182,1.22491,0.0015743,0.0015743,0.0015743
45,95.5954,1.94864,1.08003,0.98868,0.66671,0.69422,0.57318,0.22421,2.33202,1.8528,1.05867,0.0015644,0.0015644,0.0015644
46,97.5297,1.8552,1.06343,0.98851,0.69571,0.7105,0.61974,0.26446,2.0116,1.37423,0.98979,0.0015545,0.0015545,0.0015545
47,99.5591,1.89457,1.06787,0.98263,0.70082,0.69871,0.60926,0.24352,2.06117,1.35414,1.00421,0.0015446,0.0015446,0.0015446
48,101.554,1.872,1.08782,0.97735,0.71465,0.71464,0.62036,0.26477,1.96715,1.3311,0.98624,0.0015347,0.0015347,0.0015347
49,103.649,1.83151,1.06753,0.97478,0.66818,0.70518,0.58672,0.20617,2.27169,1.57695,1.03955,0.0015248,0.0015248,0.0015248
50,105.571,1.91507,1.07247,0.99087,0.58886,0.60707,0.46626,0.13192,2.80704,1.58733,1.14199,0.0015149,0.0015149,0.0015149
51,107.484,1.85913,1.1138,0.99138,0.65704,0.70916,0.584,0.21979,2.09456,1.5845,1.00458,0.001505,0.001505,0.001505
52,109.467,1.95607,1.0966,0.985,0.41221,0.43327,0.25347,0.04381,3.55076,1.85031,1.36485,0.0014951,0.0014951,0.0014951
53,111.36,1.87705,1.08638,0.97179,0.65734,0.68327,0.56496,0.19175,2.4599,1.61948,1.07298,0.0014852,0.0014852,0.0014852
54,113.411,1.81172,1.0527,0.96006,0.72219,0.70428,0.63132,0.26571,1.99028,1.29169,0.98543,0.0014753,0.0014753,0.0014753
55,115.558,1.81502,1.08628,0.97382,0.66119,0.64542,0.56113,0.18313,2.65977,1.47244,1.11441,0.0014654,0.0014654,0.0014654
56,117.524,1.8244,1.07433,0.97194,0.67811,0.67679,0.58814,0.21257,2.39411,1.34267,1.06224,0.0014555,0.0014555,0.0014555
57,119.621,1.80013,1.04272,0.9586,0.64358,0.64641,0.55104,0.17517,2.58409,1.51405,1.09326,0.0014456,0.0014456,0.0014456
58,121.595,1.8116,1.05575,0.98637,0.67238,0.64288,0.57298,0.1914,2.59298,1.42725,1.10224,0.0014357,0.0014357,0.0014357
59,123.596,1.89908,1.08718,0.9989,0.56787,0.53735,0.41375,0.10212,3.43659,2.2896,1.37954,0.0014258,0.0014258,0.0014258
60,125.688,1.79111,1.08134,0.98248,0.68529,0.72311,0.60226,0.26168,2.0797,1.78573,1.01802,0.0014159,0.0014159,0.0014159
61,127.65,1.86315,1.0488,0.97984,0.56957,0.56673,0.43575,0.10435,3.15889,1.69671,1.251,0.001406,0.001406,0.001406
62,129.603,1.85629,1.08089,0.98398,0.3606,0.38645,0.19508,0.03219,3.91122,2.73701,1.51517,0.0013961,0.0013961,0.0013961
63,131.675,1.87811,1.08265,0.98699,0.69693,0.7241,0.6134,0.28059,1.82757,nan,0.96255,0.0013862,0.0013862,0.0013862
64,133.781,1.94349,1.09114,0.99111,0.62433,0.66285,0.51135,0.14457,2.67392,1.80599,1.12227,0.0013763,0.0013763,0.0013763
65,135.774,1.81688,1.08084,0.97339,0.62325,0.67281,0.52949,0.16345,2.7709,1.97687,1.15685,0.0013664,0.0013664,0.0013664
66,137.906,1.79758,1.06273,0.96998,0.71262,0.71066,0.62169,0.27193,2.01788,1.28907,0.99229,0.0013565,0.0013565,0.0013565
67,139.946,1.777,1.05851,0.96992,0.65435,0.62883,0.53209,0.15239,3.05541,1.71873,1.22836,0.0013466,0.0013466,0.0013466
68,141.945,1.79208,1.07793,0.97376,0.71642,0.71265,0.6261,0.26014,2.07154,1.25917,1.00562,0.0013367,0.0013367,0.0013367
69,143.961,1.78953,1.03439,0.96735,0.62885,0.67082,0.53696,0.17669,2.78712,1.92165,1.16725,0.0013268,0.0013268,0.0013268
70,145.911,1.79108,1.05939,0.96261,0.65636,0.62201,0.53792,0.16428,2.81504,1.47417,1.19844,0.0013169,0.0013169,0.0013169
71,147.85,1.77365,1.04248,0.97049,0.66765,0.64327,0.5558,0.15038,2.87421,1.57542,1.15755,0.001307,0.001307,0.001307
72,149.927,1.82749,1.05019,0.96275,0.65919,0.69671,0.57955,0.1918,2.6187,1.6342,1.10068,0.0012971,0.0012971,0.0012971
73,151.865,1.85581,1.07186,0.98262,0.69589,0.72261,0.62427,0.28157,1.94527,1.40218,0.98375,0.0012872,0.0012872,0.0012872
74,153.92,1.85739,1.06266,0.97318,0.65386,0.68675,0.57458,0.17396,2.70908,1.57429,1.12024,0.0012773,0.0012773,0.0012773
75,156.021,1.88474,1.07428,0.98074,0.64808,0.67958,0.55692,0.18264,2.7721,1.55647,1.15866,0.0012674,0.0012674,0.0012674
76,158.066,1.81035,1.04805,0.96983,0.71661,0.74552,0.63596,0.27791,2.00919,1.2924,0.99583,0.0012575,0.0012575,0.0012575
77,160.01,1.82269,1.03576,0.971,0.67496,0.68177,0.58966,0.18764,2.54065,1.38782,1.08917,0.0012476,0.0012476,0.0012476
78,162.046,1.80861,1.02767,0.97,0.72019,0.71514,0.63267,0.28813,1.80344,1.27264,0.95952,0.0012377,0.0012377,0.0012377
79,164.112,1.83319,1.05385,0.97486,0.65746,0.67181,0.54514,0.15789,2.69866,1.48594,1.13011,0.0012278,0.0012278,0.0012278
80,166.055,1.78186,1.06273,0.97114,0.69516,0.69821,0.60435,0.24686,2.22248,1.37246,1.02887,0.0012179,0.0012179,0.0012179
81,168.104,1.74629,1.03847,0.95054,0.66788,0.67679,0.56984,0.19652,2.51371,1.41178,1.08523,0.001208,0.001208,0.001208
82,170.047,1.76956,1.032,0.96006,0.70588,0.73755,0.62694,0.24961,2.231,1.2651,1.02654,0.0011981,0.0011981,0.0011981
83,171.963,1.77907,1.06618,0.9632,0.73603,0.73357,0.64865,0.30484,1.79181,1.21808,0.95865,0.0011882,0.0011882,0.0011882
84,174.146,1.76819,1.00984,0.9681,0.65779,0.68277,0.57176,0.15651,2.8261,1.40703,1.14602,0.0011783,0.0011783,0.0011783
85,176.146,1.81355,1.04958,0.9606,0.69289,0.69212,0.61416,0.25808,2.15734,1.3817,1.01676,0.0011684,0.0011684,0.0011684
