epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,77.899,1.77782,1.07843,0.9594,0.62273,0.65516,0.51496,0.17713,2.91745,2.29295,1.20229,0.0015644,0.0015644,0.0015644
46,79.7149,1.81885,1.05969,0.96774,0.57208,0.61106,0.44271,0.1062,3.34388,2.24627,1.30812,0.0015545,0.0015545,0.0015545
47,81.5398,1.86787,1.04383,0.97826,0.15822,0.16982,0.05314,0.00863,4.44179,4.67629,1.71961,0.0015446,0.0015446,0.0015446
48,83.2473,1.81586,1.06729,0.96812,0.70019,0.74054,0.62198,0.2831,1.93928,1.59894,0.98792,0.0015347,0.0015347,0.0015347
49,85.1029,1.91415,1.0659,0.99712,0.11872,0.13827,0.03712,0.0054,4.57751,3.52821,1.73522,0.0015248,0.0015248,0.0015248
50,86.7779,1.8402,1.0562,0.97987,0.57549,0.61233,0.47471,0.15194,3.17661,3.24292,1.28002,0.0015149,0.0015149,0.0015149
51,88.5456,1.8127,1.07045,0.96797,0.33194,0.39741,0.21057,0.0385,3.8246,4.07796,1.47175,0.001505,0.001505,0.001505
52,90.2086,1.74092,1.07626,0.95852,0.58986,0.67281,0.51123,0.19079,2.89818,3.00426,1.20587,0.0014951,0.0014951,0.0014951
53,91.8778,1.78509,1.04766,0.9561,0.36652,0.40339,0.20516,0.0399,4.18352,3.4998,1.62417,0.0014852,0.0014852,0.0014852
54,93.6869,1.8221,1.06918,0.965,0.45701,0.48705,0.30005,0.06135,3.94168,2.74701,1.4983,0.0014753,0.0014753,0.0014753
55,95.3695,1.81016,1.04458,0.96504,0.69063,0.69373,0.57896,0.20765,2.78936,1.48505,1.1712,0.0014654,0.0014654,0.0014654
56,97.0488,1.76225,1.0624,0.96525,0.44842,0.55063,0.3306,0.07899,3.68229,3.97807,1.42817,0.0014555,0.0014555,0.0014555
57,98.9117,1.80906,1.03475,0.96214,0.5519,0.62151,0.44125,0.10946,3.66462,3.35342,1.45158,0.0014456,0.0014456,0.0014456
58,100.678,1.75542,1.05627,0.96648,0.47594,0.50398,0.33774,0.06478,3.81295,2.35338,1.46248,0.0014357,0.0014357,0.0014357
59,102.424,1.77278,1.04717,0.96578,0.63128,0.6504,0.53785,0.19706,2.80963,1.9284,1.16916,0.0014258,0.0014258,0.0014258
60,104.322,1.78819,1.04288,0.97198,0.67096,0.73655,0.61173,0.2763,2.10888,1.86752,1.01274,0.0014159,0.0014159,0.0014159
61,106.078,1.74676,1.03911,0.96452,0.58517,0.60209,0.46096,0.12335,3.43972,1.96843,1.35248,0.001406,0.001406,0.001406
62,107.87,1.84226,1.06364,0.96877,0.67474,0.69124,0.57607,0.19396,2.71344,1.40855,1.13226,0.0013961,0.0013961,0.0013961
63,109.739,1.80328,1.03108,0.97628,0.52521,0.51494,0.38744,0.07524,3.69908,2.05006,1.40008,0.0013862,0.0013862,0.0013862
64,111.496,1.74719,1.04992,0.96621,0.69438,0.7012,0.59811,0.20612,2.71575,1.49841,1.13757,0.0013763,0.0013763,0.0013763
65,113.264,1.7399,1.05182,0.94936,0.55097,0.54283,0.39445,0.08851,3.64426,2.20521,1.43676,0.0013664,0.0013664,0.0013664
66,115.14,1.7378,1.03438,0.95962,0.64026,0.67779,0.52683,0.17003,2.95655,1.77779,1.21279,0.0013565,0.0013565,0.0013565
67,116.883,1.79353,1.04738,0.96916,0.68646,0.68147,0.58024,0.23902,3.02323,1.8501,1.25974,0.0013466,0.0013466,0.0013466
68,118.662,1.7674,1.02827,0.96196,0.52597,0.56823,0.37533,0.07876,3.68389,2.24476,1.43456,0.0013367,0.0013367,0.0013367
69,120.544,1.7802,1.04031,0.9569,0.52438,0.57871,0.39886,0.10064,3.47676,2.30704,1.3294,0.0013268,0.0013268,0.0013268
70,122.312,1.72702,1.04022,0.94962,0.62282,0.66036,0.52739,0.17629,2.98138,2.22103,1.20833,0.0013169,0.0013169,0.0013169
71,124.069,1.7079,1.05219,0.95403,0.65955,0.69753,0.56173,0.19137,2.76211,1.82081,1.15583,0.001307,0.001307,0.001307
72,125.944,1.74478,1.05248,0.95336,0.61595,0.65438,0.49981,0.13568,3.15172,1.94459,1.26448,0.0012971,0.0012971,0.0012971
73,127.704,1.7319,1.04685,0.9661,0.71848,0.69778,0.60935,0.25557,2.13417,1.42421,1.02543,0.0012872,0.0012872,0.0012872
74,129.46,1.76944,1.04922,0.95872,0.65313,0.69422,0.55253,0.16653,2.85421,1.73158,1.19048,0.0012773,0.0012773,0.0012773
75,131.325,1.77135,1.03749,0.95573,0.67056,0.68924,0.56649,0.20457,2.58225,1.53166,1.10508,0.0012674,0.0012674,0.0012674
76,133.082,1.74563,1.02523,0.96188,0.67438,0.71713,0.60547,0.25439,2.1727,1.50874,1.02427,0.0012575,0.0012575,0.0012575
77,134.835,1.68904,1.01942,0.94667,0.43801,0.47211,0.29462,0.06089,3.79952,2.27201,1.44131,0.0012476,0.0012476,0.0012476
78,136.728,1.73585,1.01911,0.95063,0.61554,0.64542,0.50748,0.16847,3.15745,2.18083,1.29206,0.0012377,0.0012377,0.0012377
