epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,188.632,0.69025,0.5006,0.10264,0.66847,0.67878,0.58338,0.19019,0.88759,0.4954,0.21074,0.0015941,0.0015941,0.0015941
43,193.055,0.70447,0.47741,0.10859,0.71698,0.75065,0.66119,0.28132,0.73995,0.51656,0.14997,0.0015842,0.0015842,0.0015842
44,197.335,0.69767,0.48294,0.11065,0.70837,0.75482,0.64386,0.26384,0.7538,0.57624,0.15698,0.0015743,0.0015743,0.0015743
45,201.544,0.70023,0.47462,0.11212,0.70927,0.75149,0.64477,0.25831,0.79573,0.50398,0.16812,0.0015644,0.0015644,0.0015644
46,205.678,0.68056,0.47881,0.11313,0.71029,0.76793,0.66277,0.29811,0.73125,0.52053,0.13971,0.0015545,0.0015545,0.0015545
47,210.04,0.69629,0.46764,0.10963,0.71613,0.75847,0.66199,0.2904,0.73254,0.52022,0.13975,0.0015446,0.0015446,0.0015446
48,214.366,0.70245,0.4722,0.11611,0.70715,0.73855,0.65322,0.27888,0.79099,0.51029,0.16764,0.0015347,0.0015347,0.0015347
49,218.696,0.68091,0.48009,0.10986,0.71138,0.75245,0.66473,0.28006,0.78792,0.5023,0.16691,0.0015248,0.0015248,0.0015248
50,223.179,0.68223,0.47281,0.10748,0.71149,0.73257,0.65255,0.27715,0.81066,0.50606,0.16575,0.0015149,0.0015149,0.0015149
51,227.23,0.69216,0.4853,0.12225,0.70779,0.75598,0.6498,0.25626,0.80816,0.50041,0.17248,0.001505,0.001505,0.001505
52,231.745,0.70098,0.47392,0.10437,0.71759,0.77141,0.67371,0.30421,0.73196,0.52921,0.14009,0.0014951,0.0014951,0.0014951
53,236.111,0.7028,0.47339,0.10996,0.70019,0.74602,0.64248,0.25273,0.77804,0.5185,0.16577,0.0014852,0.0014852,0.0014852
54,240.225,0.67796,0.4741,0.1039,0.71845,0.7754,0.66626,0.30603,0.75451,0.51417,0.15475,0.0014753,0.0014753,0.0014753
55,244.368,0.68458,0.48762,0.10678,0.59863,0.59612,0.49239,0.13522,1.05342,0.53596,0.27546,0.0014654,0.0014654,0.0014654
56,248.666,0.68989,0.47711,0.1094,0.71689,0.73954,0.66262,0.29227,0.81264,0.47626,0.18047,0.0014555,0.0014555,0.0014555
57,253.18,0.6993,0.47075,0.10477,0.68461,0.70483,0.61297,0.22716,0.8571,0.50197,0.20164,0.0014456,0.0014456,0.0014456
58,257.265,0.66979,0.48434,0.10507,0.70907,0.7404,0.65059,0.26908,0.75688,0.51873,0.16107,0.0014357,0.0014357,0.0014357
59,261.821,0.68375,0.48057,0.11232,0.71902,0.7754,0.68195,0.312,0.6878,0.55231,0.12411,0.0014258,0.0014258,0.0014258
60,265.816,0.66546,0.48344,0.10515,0.72099,0.77291,0.67404,0.31519,0.69211,0.54069,0.12652,0.0014159,0.0014159,0.0014159
61,270.317,0.67662,0.47943,0.1103,0.71423,0.75799,0.654,0.28116,0.75299,0.51172,0.15232,0.001406,0.001406,0.001406
62,274.364,0.6844,0.47952,0.10343,0.70878,0.74203,0.64305,0.2536,0.79725,0.49786,0.17877,0.0013961,0.0013961,0.0013961
63,278.649,0.67426,0.47968,0.10551,0.70472,0.74651,0.64573,0.27293,0.74661,0.54718,0.15916,0.0013862,0.0013862,0.0013862
64,282.938,0.66604,0.47769,0.1027,0.71548,0.76245,0.65106,0.26591,0.7616,0.53613,0.16471,0.0013763,0.0013763,0.0013763
65,287.282,0.66786,0.48127,0.10217,0.72706,0.77191,0.67344,0.32342,0.67229,0.54056,0.11917,0.0013664,0.0013664,0.0013664
66,291.836,0.66858,0.47711,0.10491,0.6942,0.75199,0.64324,0.25306,0.78671,0.51426,0.17217,0.0013565,0.0013565,0.0013565
67,296.116,0.6637,0.4803,0.10407,0.72409,0.76325,0.66927,0.2818,0.77499,0.50681,0.16118,0.0013466,0.0013466,0.0013466
68,300.434,0.66147,0.47948,0.10304,0.71047,0.75647,0.65651,0.25943,0.80386,0.49806,0.18134,0.0013367,0.0013367,0.0013367
69,304.795,0.66089,0.4729,0.10413,0.7142,0.74502,0.65605,0.28474,0.77809,0.50496,0.15928,0.0013268,0.0013268,0.0013268
70,309.194,0.67492,0.47625,0.10981,0.70863,0.7739,0.67358,0.31652,0.73223,0.54969,0.14261,0.0013169,0.0013169,0.0013169
71,313.476,0.66216,0.4755,0.10468,0.7077,0.76444,0.6605,0.27568,0.78805,0.51336,0.16377,0.001307,0.001307,0.001307
72,317.615,0.66171,0.46817,0.09861,0.70902,0.77639,0.66075,0.28337,0.77223,0.51451,0.15833,0.0012971,0.0012971,0.0012971
73,321.792,0.66625,0.47343,0.10743,0.67825,0.70618,0.59982,0.20764,0.88975,0.4946,0.21153,0.0012872,0.0012872,0.0012872
74,326.055,0.66154,0.47574,0.10351,0.68744,0.73805,0.6172,0.21605,0.84494,0.50473,0.1955,0.0012773,0.0012773,0.0012773
75,330.263,0.67863,0.47506,0.11143,0.68197,0.74007,0.61237,0.19207,0.858,0.5083,0.2035,0.0012674,0.0012674,0.0012674
76,334.409,0.69848,0.47141,0.1232,0.71013,0.76616,0.65654,0.29165,0.73101,0.52113,0.141,0.0012575,0.0012575,0.0012575
77,338.714,0.66257,0.47076,0.1005,0.6936,0.74855,0.63677,0.25913,0.81262,0.49679,0.18158,0.0012476,0.0012476,0.0012476
78,342.963,0.65737,0.47256,0.10643,0.70068,0.76693,0.65404,0.27483,0.76269,0.52507,0.1529,0.0012377,0.0012377,0.0012377
79,347.266,0.65258,0.47665,0.10151,0.71707,0.77092,0.68067,0.31016,0.73444,0.52259,0.15105,0.0012278,0.0012278,0.0012278
80,351.509,0.67831,0.48158,0.10873,0.71093,0.73705,0.6485,0.24643,0.78334,0.53048,0.17598,0.0012179,0.0012179,0.0012179
81,356.207,0.66826,0.47375,0.10399,0.70055,0.75265,0.63866,0.24847,0.7971,0.51702,0.17302,0.001208,0.001208,0.001208
82,360.441,0.66737,0.4737,0.10156,0.72059,0.77341,0.668,0.29917,0.72517,0.51859,0.13695,0.0011981,0.0011981,0.0011981
83,364.644,0.65492,0.48326,0.10518,0.7213,0.77341,0.67349,0.30939,0.71193,0.5187,0.12952,0.0011882,0.0011882,0.0011882
84,369.188,0.63869,0.47498,0.09791,0.70117,0.7505,0.6596,0.27185,0.78185,0.50079,0.16997,0.0011783,0.0011783,0.0011783
85,373.413,0.64537,0.47184,0.09661,0.71931,0.75448,0.67455,0.29557,0.7502,0.52653,0.1503,0.0011684,0.0011684,0.0011684
86,377.651,0.64455,0.47285,0.09775,0.70712,0.76494,0.66728,0.29778,0.76274,0.51775,0.15706,0.0011585,0.0011585,0.0011585
87,382.044,0.63824,0.47643,0.09894,0.70516,0.73506,0.63768,0.23619,0.81986,0.51499,0.19121,0.0011486,0.0011486,0.0011486
88,386.562,0.65009,0.46972,0.09884,0.7007,0.73451,0.64273,0.26834,0.75442,0.5192,0.16326,0.0011387,0.0011387,0.0011387
89,391.109,0.64495,0.46941,0.0981,0.6881,0.73307,0.61759,0.22765,0.81347,0.53276,0.18417,0.0011288,0.0011288,0.0011288
90,395.44,0.64439,0.4671,0.09797,0.69472,0.74552,0.63443,0.24705,0.7933,0.52706,0.16093,0.0011189,0.0011189,0.0011189
91,399.688,0.66172,0.46905,0.09812,0.70046,0.76096,0.65103,0.27959,0.74787,0.52699,0.14409,0.001109,0.001109,0.001109
92,404.162,0.65426,0.47334,0.09957,0.70084,0.75996,0.65413,0.2763,0.76796,0.51651,0.15929,0.0010991,0.0010991,0.0010991
93,408.685,0.63332,0.47857,0.09832,0.70904,0.7495,0.65445,0.2791,0.75543,0.54334,0.15781,0.0010892,0.0010892,0.0010892
94,413.253,0.62834,0.47042,0.09203,0.71631,0.77839,0.67151,0.31604,0.70443,0.5326,0.13253,0.0010793,0.0010793,0.0010793
95,417.659,0.63832,0.47022,0.0952,0.70337,0.75811,0.64967,0.25845,0.7636,0.53534,0.15848,0.0010694,0.0010694,0.0010694
