epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,243.031,0.71789,0.47272,0.11882,0.71692,0.7681,0.68485,0.31484,0.71226,0.52327,0.13828,0.0015842,0.0015842,0.0015842
44,248.687,0.71473,0.47868,0.1129,0.71817,0.76014,0.68276,0.31116,0.73024,0.50988,0.13982,0.0015743,0.0015743,0.0015743
45,254.525,0.71041,0.50853,0.11258,0.71088,0.76195,0.67381,0.29476,0.72937,0.54158,0.14311,0.0015644,0.0015644,0.0015644
46,260.314,0.72371,0.50536,0.1249,0.72823,0.74502,0.69971,0.31824,0.75,0.52203,0.18435,0.0015545,0.0015545,0.0015545
47,266.242,0.7318,0.48182,0.12388,0.7149,0.74926,0.67551,0.3109,0.70911,0.56308,0.13245,0.0015446,0.0015446,0.0015446
48,271.823,0.73035,0.47792,0.12611,0.70395,0.73904,0.65749,0.2842,0.72251,0.56132,0.13665,0.0015347,0.0015347,0.0015347
49,277.815,0.71265,0.48611,0.1222,0.7028,0.73456,0.65645,0.27288,0.73533,0.55052,0.14687,0.0015248,0.0015248,0.0015248
50,283.679,0.6922,0.48359,0.11165,0.73366,0.74851,0.68828,0.31365,0.68447,0.53812,0.12807,0.0015149,0.0015149,0.0015149
51,289.345,0.70795,0.48122,0.11698,0.71434,0.75096,0.67512,0.30251,0.7024,0.54513,0.12812,0.001505,0.001505,0.001505
52,294.712,0.7111,0.47728,0.11008,0.71115,0.75548,0.66565,0.29355,0.71446,0.54511,0.13316,0.0014951,0.0014951,0.0014951
53,300.401,0.69322,0.47606,0.1054,0.70105,0.75327,0.66605,0.29908,0.72324,0.5704,0.13525,0.0014852,0.0014852,0.0014852
54,305.904,0.70204,0.48156,0.12002,0.69813,0.74054,0.65398,0.2554,0.77892,0.53604,0.16965,0.0014753,0.0014753,0.0014753
